Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0806140944144879,-0.0272465409155495,1.26252677289992E-05,0,0,0,1.52246307799953,0.00809852145588732,0.00247847435751401,-1.73875730965175E-06,0.0312585384628435,-8.24708580630303E-07,0.0369705353409835,0,0,0,0,0,0,package://husky-sim/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/base_link.STL,,body_sim-1,Coordinate System1 <body_sim-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_fr,0.305825888352692,0.0124997232181634,0.0437792218074311,0,0,0,0.0854637558067635,2.01654865534268E-05,6.24351012069006E-10,2.75377210666424E-06,4.28252209572269E-05,6.8092059980292E-10,4.58318544549979E-05,0,0,0,0,0,0,package://husky-sim/meshes/hip_fr.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/hip_fr.STL,,hip-sim-1,Coordinate System1 <body_sim-1>,Axis1 <hip-sim-1>,hip_fr_ab,continuous,0,0,0,0,0,0,base_link,-1,0,0,1000,1000,0,3,,,,,,,,
femur_fr,0.377197601160389,-0.0525280345580798,0.060837242868227,0,0,0,0.142391647778257,0.00041312110528486,0.000269623915234981,-6.68331677747615E-08,0.000209758187123244,9.3201287186264E-08,0.00058446739223688,0,0,0,0,0,0,package://husky-sim/meshes/femur_fr.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/femur_fr.STL,,femur-sim-1,Coordinate System1 <body_sim-1>,Axis1 <femur-sim-1>,hip_fr_ex,continuous,0,0,0,0,0,0,hip_fr,0,-0.000226725731769254,-0.999999974297721,1000,1000,0,3,,,,,,,,
tibia_fr,0.368377194132669,-0.172433940567675,0.0409838059139339,0,0,0,0.208256364040305,0.00130663416988928,-0.00123796400843298,4.00858859138511E-05,0.00124892625909999,4.10373128899617E-05,0.00254225159539532,0,0,0,0,0,0,package://husky-sim/meshes/tibia_fr.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/tibia_fr.STL,,tibia-sim-1,Coordinate System1 <body_sim-1>,Axis1 <tibia-sim-1>,knee_fr,continuous,0,0,0,0,0,0,femur_fr,0,0.000226725731769254,0.999999974297721,1000,1000,0,3,,,,,,,,
tarsus_fr,0.220460212406245,-0.400485146221065,0.0445936413164819,0,0,0,0.182843827313912,8.97380796580712E-05,4.47650753753707E-05,-1.01417456676308E-08,5.61502812657955E-05,1.37782931596337E-08,0.000116988726864623,0,0,0,0,0,0,package://husky-sim/meshes/tarsus_fr.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/tarsus_fr.STL,,foot-1,Coordinate System1 <body_sim-1>,Axis1 <foot-1>,ankle_fr,continuous,0,0,0,0,0,0,tibia_fr,0,0.000226725731769254,0.999999974297721,1000,1000,0,3,,,,,,,,
hip_fl,0.305825888352692,0.0125002767818364,-0.0437792218074263,0,0,0,0.0854637558067637,2.01654865534268E-05,-6.24351012101357E-10,-2.75377210666425E-06,4.28252209572269E-05,6.80920599802324E-10,4.5831854454998E-05,0,0,0,0,0,0,package://husky-sim/meshes/hip_fl.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/hip_fl.STL,,hip-sim-2,Coordinate System1 <body_sim-1>,Axis1 <hip-sim-2>,hip_fl_ab,continuous,0,0,0,0,0,0,base_link,-1,0,0,1000,1000,0,3,,,,,,,,
femur_fl,0.377253611944753,-0.0524964351814544,-0.0608077629744116,0,0,0,0.142391647778257,0.000412656369827759,0.000269798723213945,-5.54607264535188E-08,0.000210222915081215,7.66107152734757E-08,0.000584467399736011,0,0,0,0,0,0,package://husky-sim/meshes/femur_fl.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/femur_fl.STL,,femur-sim-2,Coordinate System1 <body_sim-1>,Axis1 <femur-sim-2>,hip_fl_ex,continuous,0,0,0,0,0,0,hip_fl,0,0.000226725731769254,0.999999974297721,1000,1000,0,3,,,,,,,,
tibia_fl,0.368678529208012,-0.17253903364505,-0.0408999235184566,0,0,0,0.208256364040305,0.00131514827609183,-0.00123775422209698,-3.93842215994513E-05,0.00124037514044777,-4.05855555818926E-05,0.00254228860784501,0,0,0,0,0,0,package://husky-sim/meshes/tibia_fl.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/tibia_fl.STL,,tibia-sim-2,Coordinate System1 <body_sim-1>,Axis1 <tibia-sim-2>,knee_fl,continuous,0,0,0,0,0,0,femur_fl,0,-0.000226725731769254,-0.999999974297721,1000,1000,0,3,,,,,,,,
tarsus_fl,0.221392674311724,-0.401206307106365,-0.0444062083404673,0,0,0,0.182843817696633,8.97380992612829E-05,4.47650649845631E-05,-1.0161833369127E-08,5.61502579854668E-05,1.38129425139625E-08,0.000116988725595337,0,0,0,0,0,0,package://husky-sim/meshes/tarsus_fl.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/tarsus_fl.STL,,foot-2,Coordinate System1 <body_sim-1>,Axis1 <foot-2>,ankle_fl,continuous,0,0,0,0,0,0,tibia_fl,0,-0.000226725731769254,-0.999999974297721,1000,1000,0,3,,,,,,,,
hip_rr,-0.0890741116473079,0.0124997232181636,0.0437792218074311,0,0,0,0.0854637558067635,2.01654865534268E-05,6.24351012069421E-10,2.75377210666425E-06,4.28252209572269E-05,6.80920599801966E-10,4.58318544549979E-05,0,0,0,0,0,0,package://husky-sim/meshes/hip_rr.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://husky-sim/meshes/hip_rr.STL,,hip-sim-3,Coordinate System1 <body_sim-1>,Axis1 <hip-sim-3>,hip_rr_ab,continuous,0,0,0,0,0,0,base_link,-1,0,0,1000,1000,0,3,,,,,,,,
