Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0211071595269655,-5.5456572944828E-05,-0.041523273623718,0,0,0,0.822348296294316,0.000459915991676579,8.25140983931743E-13,1.96417516880165E-05,0.000544483864138412,3.0754806586315E-08,0.000323732011389318,0,0,0,0,0,0,package://husky.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/base_link.STL,,body-1,Coordinate System_Robot,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Body,0.021107,-5.5457E-05,-0.041523,0,0,0,0.82235,0.00045992,8.2923E-13,1.9642E-05,0.00054448,3.0755E-08,0.00032373,0,0,0,0,0,0,package://husky.SLDASM/meshes/Body.STL,1,1,1,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/Body.STL,,body-1,Coordinate System_Robot,Axis_dummy,dummy,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
hip_rl,0.024751,-0.0025459,-6.0284E-05,0,0,0,0.035944,9.4368E-06,2.3932E-06,-7.3784E-08,2.7076E-05,5.0995E-09,2.4422E-05,0,0,0,0,0,0,package://husky.SLDASM/meshes/hip_rl.STL,1,0,0,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/hip_rl.STL,,hip4-4,Coordinate System1RL,Axis1RL,hip_rl_ab,revolute,-0.19745,0.045,0,0,0,0,Body,-1,0,0,1000,1000,-3.14,3.14,,,,,,,,
femur_rl,-2.704E-07,0.036112,-0.082829,0,0,0,0.1521,4.3927E-05,6.9154E-10,-1.8319E-08,6.2109E-05,4.5878E-10,2.7563E-05,0,0,0,0,0,0,package://husky.SLDASM/meshes/femur_rl.STL,0,1,0,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/femur_rl.STL,,femur4-4,Coordinate System2RL,Axis2RL,hip_rl_ex,revolute,0.053,-0.007,0,0,0,0,hip_rl,0,1,0,1000,1000,-3.14,3.14,,,,,,,,
tibia_rl,-0.10575,0.0039831,1.084E-05,0,0,0,0.038628,7.1252E-06,1.0931E-06,-8.0061E-10,3.484E-05,-1.6386E-09,2.9866E-05,0,0,0,0,0,0,package://husky.SLDASM/meshes/tibia_rl.STL,0,0,1,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/tibia_rl.STL,,Tibia4-4,Coordinate System3RL,Axis3RL,knee_rl,revolute,0,0,-0.158,0,0,0,femur_rl,0,-1,0,1000,1000,-3.14,3.14,,,,,,,,
tarsus_rl,3.6446E-11,2.4923E-10,-0.054555,0,0,0,0.18284,0.00012076,-8.5139E-12,-6.9478E-13,0.00011699,3.7744E-12,2.5133E-05,0,0,0,0,0,0,package://husky.SLDASM/meshes/tarsus_rl.STL,0.5,0.5,1,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/tarsus_rl.STL,,foot4-4,Coordinate System4RL,Axis4RL,ankle_rl,revolute,-0.333,0.0075,0,0,0,0,tibia_rl,0,-1,0,1000,1000,-3.14,3.14,,,,,,,,
hip_rr,0.024751,0.0025459,6.0284E-05,0,0,0,0.035944,9.4368E-06,-2.3932E-06,7.3784E-08,2.7076E-05,5.0995E-09,2.4422E-05,0,0,0,0,0,0,package://husky.SLDASM/meshes/hip_rr.STL,1,0,0,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/hip_rr.STL,,hip3-3,Coordinate System1RR,Axis1RR,hip_rr_ab,revolute,-0.19745,-0.045,0,0,0,0,Body,-1,0,0,1000,1000,-3.14,3.14,,,,,,,,
femur_rr,2.704E-07,-0.036112,-0.082829,0,0,0,0.1521,4.3927E-05,6.9154E-10,1.8319E-08,6.2109E-05,-4.5879E-10,2.7563E-05,0,0,0,0,0,0,package://husky.SLDASM/meshes/femur_rr.STL,0,1,0,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/femur_rr.STL,,femur3-3,Coordinate System2RR,Axis2RR,hip_rr_ex,revolute,0.053,0.007,0,0,0,0,hip_rr,0,-1,0,1000,1000,-3.14,3.14,,,,,,,,
tibia_rr,-0.10575,-0.0039831,-1.084E-05,0,0,0,0.038628,7.1252E-06,-1.0931E-06,8.0091E-10,3.484E-05,-1.6386E-09,2.9866E-05,0,0,0,0,0,0,package://husky.SLDASM/meshes/tibia_rr.STL,0,0,1,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/tibia_rr.STL,,Tibia3-3,Coordinate System3RR,Axis3RR,knee_rr,revolute,0,0,-0.158,0,0,0,femur_rr,0,1,0,1000,1000,-3.14,3.14,,,,,,,,
tarsus_rr,-3.6453E-11,-2.4587E-10,-0.054555,0,0,0,0.18284,0.00012076,-8.5139E-12,6.9478E-13,0.00011699,-3.7744E-12,2.5133E-05,0,0,0,0,0,0,package://husky.SLDASM/meshes/tarsus_rr.STL,0.5,0.5,1,1,0,0,0,0,0,0,package://husky.SLDASM/meshes/tarsus_rr.STL,,foot3-3,Coordinate System4RR,Axis4RR,ankle_rr,revolute,-0.333,-0.0075,0,0,0,0,tibia_rr,0,1,0,1000,1000,-3.14,3.14,,,,,,,,
